author,journal,year,title,filename,translator,type,month,publication,notes
Amy Lowell,adapt,1919,"""A Lady to Her Lover""",145.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Nuance""",146.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Autumn Haze""",147.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Peace""",148.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""In Time of War""",149.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Nuit Blanche""",150.txt,,hokku,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""Spring Dawn""",151.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Poetry""",152.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""From a Window""",153.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Again the New Year Festival""",154.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Time""",155.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Legend""",156.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Pilgrims Ascending Fuji-Yama""",157.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Kagoes of a Returning Traveller""",158.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Street""",159.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Outside a Gate""",160.txt,,hokku,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""Road to the Yoshiwara""",161.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Ox Street, Takanawa""",162.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Daimio's Oiran""",163.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Passing the Bamboo Fence""",164.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Frosty Evening""",165.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""An Artist""",166.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Burnt Offering""",167.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Daybreak. Yoshiwara""",168.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Temple Ceremony""",169.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Two Porters Returning Along a Country Road""",170.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Storm by the Seashore""",171.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Exiled Emperor""",172.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Letter Written from Prison by Two Political Offenders""",173.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Moon Haze""",174.txt,,hokku,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Proportion""",175.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Constancy""",176.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Reflections""",177.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Falling Snow""",178.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Hoar-Frost""",179.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Gold-Leaf Screen""",180.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Poet's Wife""",181.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Spring Longing""",182.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Li T' Ai Po""",183.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Vernal Equinox""",184.txt,,x,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""The Letter""",185.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Mise En Scene""",186.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Venus Transiens""",187.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Madonna of the Evening Flowers""",188.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Bright Sunlight""",189.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Ombre Chinoise""",190.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""July Midnight""",191.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Wheat-in-the-Ear""",192.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Weather-Cock Points South""",193.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Artist""",194.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Garden by Moonlight""",195.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Interlude""",196.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Bullion""",197.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Wheel of the Sun""",198.txt,,x,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""A Shower""",199.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Summer Rain""",200.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""April""",201.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Coq D'or""",202.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Charm""",203.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""After a Storm""",204.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Opal""",205.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Wakefulness""",206.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Orange of Midsummer""",207.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Shore Grass""",208.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Autumnal Equinox""",209.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Country House""",210.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Nerves""",211.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Left Behind""",212.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Autumn""",213.txt,,x,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""The Sixteenth Floor""",214.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Stain""",215.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Haunted""",216.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Grotesque""",217.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Snow in April""",218.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Sprig of Rosemary""",219.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Maladie De L'Apres-Midi""",220.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""November""",221.txt,,x,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""Nostalgia""",222.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Preparation""",223.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Decade""",224.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Penumbra""",225.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Frimaire""",226.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Solitair""",227.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Back Bay Fens""",228.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Free Fantasia on Japanese Themes""",229.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""At the Bookseller's""",230.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Violin Sonata by Vincent D'Indy""",231.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Winter's Turning""",232.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Eucharis Amazonica""",233.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Two Rains""",234.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Good Gracious!""",235.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Trees""",236.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Dawn Adventure""",237.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Corner of Night and Morning""",238.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Beech, Pine and Sunlight""",239.txt,,x,,Pictures of the Floating World,"Poetry: A Magazine of Verse, Mar., 1920"
Amy Lowell,adapt,1919,"""Planning the Garden""",240.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Impressionist Picture of a Garden""",241.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""A Bather""",242.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Dog Days""",243.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""August""",244.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Hilly Country""",245.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Trees in Winter""",246.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Sea Coal""",247.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Dolphins in Blue Water""",248.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Motor Lights on a Hill Road""",249.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""In a Time of Dearth""",250.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Aliens""",251.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Middle Age""",252.txt,,tanka,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""La Vie de Boheme""",253.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Flame Apples""",254.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Travelling Bear""",255.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Merchandise""",256.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Poem""",257.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Peddler of Flowers""",258.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Balls""",259.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Fanatic""",260.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Fireworks""",261.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Trades""",262.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Generations""",263.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Entente Cordiale""",264.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Castles in Spain""",265.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Ely Cathedral""",266.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""William Blake""",267.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""An Incident""",268.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Peach-Colour to a Soap-Bubble""",269.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Pyrotechnics""",270.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Bookshop""",271.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Gargoyles""",272.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""To Winky""",273.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Chopin""",274.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Appuldurcombe Park""",275.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Broken Fountain""",276.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Flute""",277.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Flotsam""",278.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Little Ivory Figures Pulled With String""",279.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""On the Mantelpiece""",280.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Misericordia""",281.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Dreams in War Time""",282.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Spectacles""",283.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""In the Stadium""",284.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""After Writing 'The Bronze Horses'""",285.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Fort""",286.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""Camouflaged Troop-Ship""",287.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""September, 1918""",288.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""The Night Before the Parade""",289.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1919,"""On a Certain Critic""",290.txt,,x,,Pictures of the Floating World,
Amy Lowell,adapt,1921,"""Again the larkspur・c""",89.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""How have I hurt you?...""",90.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Morning and evening・c""",91.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""I hear many words・c""",92.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""In the ghostly dawn・c""",93.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""This then is morning・c""",94.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""My eyes are weary・c""",95.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""When the flower falls・c""",96.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Even when you smile・c""",97.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Laugh - it is nothing・c""",98.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Take it, this white rose・c""",99.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""As a river-wind・c""",100.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Watching the iris・c""",101.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Down a red river・c""",102.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Night lies beside me・c""",103.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Last night it rained・c""",104.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Foolish so to grieve・c""",105.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Afterwards I think・c""",106.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Love is a game - yes?...""",107.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""When the aster fades・c""",108.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Turning from the page・c""",109.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""A cloud of lilies・c""",110.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Sweet smell of wet flowers・c""",111.txt,,hokku,June,Poetry: A Magazine of Verse,
Amy Lowell,adapt,1921,"""Staying in my room・c""",112.txt,,hokku,June,Poetry: A Magazine of Verse,
Babette Deutsch,adapt,1919,"""Answer""",597.txt,,,,Banners,
Babette Deutsch,adapt,1919,"""Screen Pattern""",598.txt,,,,Banners,
Carl Sandburg,adapt,1916,"""Fog""",621.txt,,,,Chicago Poems,Taketomo's Essay (1920)
Edgare Lee Masters,adapt,1916,"""Hokku""",491.txt,,hokku,June-July,The Little Review,
Evelyn Scott,adapt,1919,"""Tropical Life""",619.txt,,,November,Poetry: A Magazine of Verse,Taketomo's Essay (1920)
Ezra Pound,adapt,1913,"""In a Station of the Metro""",497.txt,,hokku,,Poetry: A Magazine of Verse,
Ezra Pound,adapt,1913,"""April""",498.txt,,,November,Poetry: A Magazine of Verse,The New Freewoman
Ezra Pound,adapt,1913,"""Gentildonna""",499.txt,,,November,Poetry: A Magazine of Verse,The New Freewoman
Ezra Pound,adapt,1914,"""Liu Ch'e""",500.txt,,,February,The Glebe: Des Imagistes--An Anthology,The Japanese Tradition in British and American Literature
Ezra Pound,adapt,1914,"""Alba""",501.txt,,,February,The Glebe: Des Imagistes--An Anthology,The Japanese Tradition in British and American Literature
Ezra Pound,adapt,1914,"""Fan-Piece, for Her Imperial Lord""",503.txt,,,February,The Glebe: Des Imagistes--An Anthology,The Japanese Tradition in British and American Literature
Ezra Pound,adapt,1916,"""The Bath-Tub""",502.txt,,x,,Lustra of Ezra Pound,
Ezra Pound,adapt,1916,"""Ts'ai Ch'ih""",665.txt,,,,Lustra of Ezra Pound,
F.S. Flint,adapt,1915,"""The Beggar""",504.txt,,,,Cadences,The Japanese Tradition in British and American Literature
H.D.,adapt,1914,"""Hermes of the Ways II""",618.txt,,,,Des Imagistes--An Anthology,Taketomo's Essay (1920)
John Gould Fletcher,adapt,1914,"""Blue Symphony V""",615.txt,,,September,Poetry: A Magazine of Verse,Taketomo's Essay (1920)
John Gould Fletcher,adapt,1915,"""Irradiations VII""",508.txt,,,,Irraditations--Sand and Spray,The Japanese Tradition in British and American Literature
John Gould Fletcher,adapt,1918,"""The Young Daimyo""",509.txt,,,,Japanese Prints,The Japanese Tradition in British and American Literature
John Gould Fletcher,adapt,1918,"""Midsummer Dusk""",510.txt,,,,Japanese Prints,The Japanese Tradition in British and American Literature
John Gould Fletcher,adapt,1918,"""Evening Bell from a Distant Temple""",511.txt,,,,Japanese Prints,The Japanese Tradition in British and American Literature
John Gould Fletcher,adapt,1918,"""Moods""",620.txt,,,,Japanese Prints,Taketomo's Essay (1920)
Jun Fujita,adapt,1923,"""Under the scowling sky・c""",1.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Falling slowing, whirling swiftly・c""",2.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Among the brittled grasses・c""",3.txt,,,,Tanka: Poems in Exile,"Poetry: A Magazine of Verse, Apr., 1925"
Jun Fujita,adapt,1923,"""The glamourous night is fading・c""",4.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""From the clear depth, inlaid with stars・c""",5.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The death-like expanse of snow・c""",6.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The rocking horse・c""",7.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Milky night...""",8.txt,,,,Tanka: Poems in Exile,"Poetry: A Magazine of Verse, Apr., 1925"
Jun Fujita,adapt,1923,"""The air is still・c""",9.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On the pond rain-drops are bubbling・c""",10.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The sloping sand plain・c""",11.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Above the settling mist・c""",12.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Down the slopes, white with flowers・c""",13.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""While you pant delirously, I awake・c""",14.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Against the gulls that play in the gale・c""",15.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Midnight...""",16.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The night is bare and pale・c""",17.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Over the undulating expanse, grey glare・c""",18.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""There is not time here・c""",19.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""By the sunflowers・c""",20.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A strange muteness・c""",21.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The brook has gone・c""",22.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A sudden caw, lost in the air・c""",23.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On a country road・c"" ",24.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Against the cold sky...""",25.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""The November sky witout a star...""",26.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Across the frozen marsh...""",27.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""On a pale sand-hill...""",28.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Graves are frozen・c""",29.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""I know it is not she...""",30.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Gypsy Taylor""",31.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""To Elizabeth""",32.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Miriam""",33.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Ecstasy""",34.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Summer Moon""",35.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A Moon""",36.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""A Picture""",37.txt,,,,Tanka: Poems in Exile,
Jun Fujita,adapt,1923,"""Diminuendo""",38.txt,,,,Tanka: Poems in Exile,
